episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,3,51.220,19.820,376.399,0.000,0.000,1,goal
2,3,-199.128,21.205,404.902,0.000,0.055,0,collision
3,3,50.904,19.574,276.404,0.000,0.057,1,goal
4,3,-198.758,20.586,368.587,0.000,0.275,0,collision
5,5,-203.356,4.740,178.639,0.000,0.104,0,collision
6,1,-200.085,5.393,14.282,0.000,0.000,0,collision
7,1,0.000,0.000,0.000,0.000,0.000,0,not_found
8,6,48.825,9.109,351.339,0.000,0.033,1,goal
9,1,49.921,1.772,0.926,0.000,0.000,1,goal
10,2,-199.638,12.647,76.939,0.000,0.372,0,collision
11,2,-199.962,12.013,71.531,0.000,0.447,0,collision
12,3,-199.087,19.475,370.516,0.000,0.234,0,collision
13,3,-199.634,6.944,141.691,0.000,0.055,0,collision
14,3,-201.493,2.770,58.989,0.219,0.000,0,collision
15,4,-201.306,7.328,223.243,0.000,0.045,0,collision
16,1,-200.063,8.166,45.359,0.000,0.000,0,collision
17,2,-199.325,14.871,192.536,0.000,0.000,0,collision
18,2,50.478,12.685,87.378,0.000,0.131,1,goal
19,6,-202.678,7.936,382.472,0.156,0.000,0,collision
20,3,-199.002,20.316,313.638,0.000,0.187,0,collision
21,2,-199.722,13.268,115.758,0.000,0.425,0,collision
22,3,-198.807,21.172,404.078,0.000,0.314,0,collision
23,1,0.000,0.000,0.000,0.000,0.000,0,not_found
24,1,-200.000,0.000,0.000,0.000,0.901,0,collision
25,3,51.093,10.312,236.014,0.221,0.113,1,goal
26,2,50.434,13.778,134.230,0.000,0.002,1,goal
27,17,-222.843,4.116,439.245,0.000,0.086,0,collision
28,1,-199.781,7.825,43.292,0.000,0.000,0,collision
29,8,38.080,0.942,58.761,0.000,0.000,1,goal
30,7,-207.282,2.330,123.175,0.085,0.000,0,collision
31,2,50.815,14.403,170.313,0.000,0.103,1,goal
32,5,-201.081,4.879,177.259,0.160,0.085,0,collision
33,2,50.519,13.384,117.059,0.000,0.085,1,goal
34,6,44.791,5.320,209.237,0.000,0.000,1,goal
35,1,-200.000,0.000,0.000,0.000,0.110,0,collision
36,2,-199.570,4.639,65.415,0.084,0.324,0,collision
37,3,50.551,9.703,131.813,0.000,0.000,1,goal
38,1,50.000,0.000,0.000,0.000,0.000,1,goal
39,3,51.166,19.587,345.740,0.000,0.018,1,goal
40,4,51.402,16.348,404.160,0.144,0.212,1,goal
41,1,50.143,7.708,42.579,0.000,0.000,1,goal
42,2,50.323,14.357,155.163,0.000,0.000,1,goal
43,3,-198.901,20.271,387.227,0.000,0.298,0,collision
44,2,50.446,4.710,66.513,0.378,0.000,1,goal
45,3,-199.071,9.587,217.461,0.130,0.389,0,collision
46,2,50.168,4.260,59.587,0.115,0.409,1,goal
47,8,-205.017,4.598,269.153,0.111,0.154,0,collision
48,1,0.000,0.000,0.000,0.000,0.000,0,not_found
49,1,-200.000,0.000,0.000,0.000,0.000,0,collision
50,1,-200.000,0.000,0.000,0.000,0.000,0,collision
51,3,51.246,20.998,399.833,0.000,0.000,1,goal
52,2,-199.365,14.533,187.451,0.000,0.015,0,collision
53,2,-199.404,13.760,161.316,0.000,0.035,0,collision
54,2,-199.277,14.554,203.749,0.000,0.000,0,collision
55,1,0.000,0.000,0.000,0.000,0.000,0,not_found
56,1,-200.076,3.693,2.318,0.000,0.000,0,collision
57,3,50.971,20.451,340.440,0.000,0.185,1,goal
58,2,50.288,4.675,65.973,0.154,0.380,1,goal
59,6,-205.851,2.918,116.371,0.000,0.025,0,collision
60,3,50.948,20.451,340.440,0.000,0.200,1,goal
61,1,-200.096,1.868,1.992,0.000,0.671,0,collision
62,5,-199.307,4.088,146.648,0.133,0.127,0,collision
63,2,50.768,14.906,209.395,0.000,0.000,1,goal
64,1,-199.697,7.728,42.704,0.000,0.092,0,collision
65,1,-200.017,4.793,12.513,0.000,0.088,0,collision
66,3,-198.646,19.999,407.355,0.000,0.297,0,collision
67,1,0.000,0.000,0.000,0.000,0.000,0,not_found
68,2,-199.436,12.886,100.100,0.000,0.048,0,collision
69,1,50.219,8.789,55.393,0.000,0.000,1,goal
70,3,-198.969,20.653,370.132,0.000,0.003,0,collision
71,2,50.402,12.625,86.814,0.000,0.001,1,goal
72,1,0.000,0.000,0.000,0.000,0.000,0,not_found
73,1,50.206,7.969,44.160,0.000,0.000,1,goal
74,1,-200.000,0.000,0.000,0.000,0.000,0,collision
75,8,47.433,7.496,459.793,0.087,0.000,1,goal
76,2,50.183,4.169,58.209,0.364,0.099,1,goal
77,9,-46.819,17.763,660.389,0.000,0.000,1,goal
78,3,-202.350,0.282,7.232,0.270,0.265,0,collision
79,1,0.000,0.000,0.000,0.000,0.000,0,not_found
80,5,-198.881,13.117,351.367,0.000,0.174,0,collision
81,1,0.000,0.000,0.000,0.000,0.000,0,not_found
82,3,-198.917,19.157,289.940,0.000,0.190,0,collision
83,3,-199.104,9.606,217.941,0.117,0.000,0,collision
84,7,-49.351,17.556,557.172,0.000,0.000,1,goal
85,2,50.284,4.189,58.513,0.375,0.497,1,goal
86,1,50.197,7.107,34.035,0.000,0.000,1,goal
87,1,0.000,0.000,0.000,0.000,0.000,0,not_found
88,4,-201.776,4.207,110.207,0.000,0.199,0,collision
89,3,-199.355,9.771,222.243,0.000,0.110,0,collision
90,2,-199.771,12.735,77.692,0.000,0.290,0,collision
91,1,49.936,7.384,35.491,0.000,0.000,1,goal
92,1,50.000,0.000,0.000,0.000,0.000,1,goal
93,9,-200.144,12.920,654.138,0.000,0.020,0,collision
94,1,0.000,0.000,0.000,0.000,0.000,0,not_found
95,3,50.924,20.261,413.992,0.000,0.000,1,goal
96,2,50.404,12.867,99.910,0.000,0.074,1,goal
97,2,50.622,13.484,157.474,0.000,0.068,1,goal
98,6,49.308,11.853,414.810,0.000,0.103,1,goal
99,1,50.173,8.786,55.377,0.000,0.000,1,goal
100,3,51.282,21.146,403.458,0.000,0.000,1,goal
101,6,-207.560,1.258,56.734,0.104,0.131,0,collision
102,1,50.000,0.000,0.000,0.000,0.000,1,goal
103,4,-200.938,7.196,218.665,0.127,0.198,0,collision
