episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason,total_timestep
1,2,-199.112,15.036,211.482,0.000,0.070,0,collision,2
2,2,50.354,13.547,118.884,0.000,0.013,1,goal,4
3,1,-199.828,6.328,29.948,0.000,0.303,0,collision,5
4,3,-198.928,20.606,343.828,0.000,0.165,0,collision,8
5,1,50.327,8.648,54.422,0.000,0.000,1,goal,9
6,1,49.968,5.051,13.273,0.000,0.000,1,goal,10
7,2,-199.807,12.365,94.778,0.000,0.503,0,collision,12
8,2,-199.650,4.340,60.817,0.298,0.447,0,collision,14
9,1,-200.000,0.000,0.000,0.000,0.453,0,collision,15
10,3,-199.234,5.426,118.901,0.148,0.262,0,collision,18
11,1,50.047,7.633,42.128,0.000,0.000,1,goal,19
12,2,-199.766,13.093,113.802,0.000,0.019,0,collision,21
13,1,0.000,0.000,0.000,0.000,0.000,0,not_found,22
14,1,49.900,3.890,7.393,0.000,0.000,1,goal,23
15,1,-200.103,4.428,11.442,0.000,0.867,0,collision,24
16,1,0.000,0.000,0.000,0.000,0.000,0,not_found,25
17,1,0.000,0.000,0.000,0.000,0.000,0,not_found,26
18,3,51.345,20.922,420.241,0.000,0.000,1,goal,29
19,4,48.535,7.151,128.971,0.000,0.009,1,goal,33
20,2,50.471,13.863,135.266,0.000,0.014,1,goal,35
21,1,0.000,0.000,0.000,0.000,0.000,0,not_found,36
22,2,50.522,12.857,111.176,0.000,0.000,1,goal,38
23,1,0.000,0.000,0.000,0.000,0.000,0,not_found,39
24,1,0.000,0.000,0.000,0.000,0.000,0,not_found,40
25,1,50.188,7.959,49.693,0.000,0.000,1,goal,41
26,3,-198.783,21.213,394.958,0.000,0.085,0,collision,44
27,1,-200.192,4.907,12.851,0.000,0.695,0,collision,45
28,4,50.383,4.382,124.499,0.158,0.002,1,goal,49
29,4,-198.475,26.314,396.658,0.000,0.145,0,collision,53
30,4,-198.527,15.942,423.451,0.010,0.408,0,collision,57
31,2,50.382,12.786,78.130,0.000,0.092,1,goal,59
32,5,-47.154,32.974,583.978,0.000,0.000,1,goal,64
33,1,0.000,0.000,0.000,0.000,0.000,0,not_found,65
34,3,-199.134,19.989,354.865,0.000,0.000,0,collision,68
35,2,-199.794,12.581,86.402,0.000,0.730,0,collision,70
36,2,50.533,14.081,137.918,0.000,0.069,1,goal,72
37,52,-303.667,0.014,56.215,0.000,0.000,0,collision,124
38,5,-198.091,16.291,592.636,0.000,0.051,0,collision,129
39,3,51.013,20.644,369.914,0.000,0.006,1,goal,132
40,1,0.000,0.000,0.000,0.000,0.000,0,not_found,133
41,1,0.000,0.000,0.000,0.000,0.000,0,not_found,134
42,2,50.381,11.615,68.159,0.000,0.238,1,goal,136
43,1,50.000,0.000,0.000,0.000,0.000,1,goal,137
44,2,50.387,12.765,110.159,0.000,0.057,1,goal,139
45,3,50.819,10.167,232.278,0.161,0.282,1,goal,142
46,2,50.533,13.200,127.244,0.000,0.007,1,goal,144
47,2,50.294,12.012,71.523,0.000,0.152,1,goal,146
48,1,0.000,0.000,0.000,0.000,0.000,0,not_found,147
49,1,49.646,4.061,10.367,0.000,0.000,1,goal,148
50,2,50.135,12.671,97.896,0.000,0.199,1,goal,150
51,3,-198.719,21.286,401.795,0.000,0.000,0,collision,153
52,11,40.700,4.056,332.966,0.055,0.080,1,goal,164
53,1,0.000,0.000,0.000,0.000,0.000,0,not_found,165
54,2,-199.818,13.156,102.873,0.000,0.371,0,collision,167
55,2,50.601,11.848,111.134,0.000,0.013,1,goal,169
56,2,-199.548,12.688,87.406,0.000,0.226,0,collision,171
57,2,-199.472,12.944,100.699,0.000,0.013,0,collision,173
58,3,-198.926,20.584,343.340,0.000,0.032,0,collision,176
59,3,-199.049,19.490,274.793,0.000,0.201,0,collision,179
60,2,-199.177,14.549,172.376,0.000,0.248,0,collision,181
61,2,50.309,12.309,74.051,0.000,0.121,1,goal,183
62,1,49.974,5.256,13.877,0.000,0.000,1,goal,184
63,1,50.103,8.642,54.379,0.000,0.000,1,goal,185
64,5,-203.356,3.540,131.648,0.026,0.200,0,collision,190
65,1,-199.923,6.945,33.182,0.000,0.000,0,collision,191
66,1,-200.100,7.080,33.891,0.000,0.000,0,collision,192
67,2,50.778,14.978,194.160,0.000,0.102,1,goal,194
68,1,0.000,0.000,0.000,0.000,0.000,0,not_found,195
69,1,-199.797,7.933,43.942,0.000,0.023,0,collision,196
70,2,-200.076,12.632,76.812,0.000,0.302,0,collision,198
71,2,50.115,13.242,103.761,0.000,0.288,1,goal,200
72,2,50.459,11.900,80.034,0.000,0.019,1,goal,202
73,2,-199.490,13.879,162.981,0.000,0.036,0,collision,204
74,2,50.189,11.966,80.655,0.000,0.372,1,goal,206
75,2,50.287,12.313,74.084,0.000,0.500,1,goal,208
