episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,3,-198.475,35.757,0.000,0.000,0.000,0,collision
2,14,-57.699,10.198,0.000,0.000,0.055,1,goal
3,4,52.286,28.247,0.000,0.000,0.000,1,goal
4,6,49.804,3.958,0.000,0.000,0.307,1,goal
5,3,-198.862,23.621,0.000,0.000,0.000,0,collision
6,3,-202.228,5.793,0.000,0.000,0.136,0,collision
7,1,-200.420,1.354,0.000,0.000,0.409,0,collision
8,1,49.930,4.809,0.000,0.000,0.000,1,goal
9,2,50.223,10.862,0.000,0.000,0.006,1,goal
10,4,-201.535,5.749,0.000,0.000,0.195,0,collision
11,5,-203.578,14.409,0.000,0.000,0.011,0,collision
12,8,-198.068,22.988,0.000,0.000,0.000,0,collision
13,3,49.449,2.791,0.000,0.064,0.254,1,goal
14,7,-203.327,4.820,0.000,0.000,0.144,0,collision
15,1,49.998,15.046,0.000,0.000,0.000,1,goal
16,6,43.944,10.369,0.000,0.000,0.047,1,goal
17,3,-202.432,5.148,0.000,0.000,0.114,0,collision
18,6,-201.878,13.796,0.000,0.000,0.000,0,collision
19,1,49.856,2.173,0.000,0.000,0.000,1,goal
20,6,47.625,6.269,0.000,0.000,0.122,1,goal
21,18,-56.243,9.748,0.000,0.000,0.079,1,goal
22,8,49.193,17.462,0.000,0.000,0.000,1,goal
