episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,25,-167.07,21.13,145.08,0.0000,0.0698,0,collision
2,9,-164.88,1.59,-16.64,0.0000,0.0000,0,collision
3,27,-140.68,41.90,554.14,0.0000,0.0001,0,collision
4,16,-158.45,17.84,-15.90,0.0000,0.2148,0,collision
5,12,-152.13,14.79,419.67,0.0000,0.5457,0,collision
6,32,-160.12,27.53,-85.67,0.0000,0.0255,0,collision
7,16,-145.00,19.79,298.65,0.0000,0.2082,0,collision
8,14,-153.25,12.49,147.17,0.0000,0.5991,0,collision
9,18,-160.72,2.91,33.88,0.0481,0.5985,0,collision
10,27,-138.26,30.36,156.47,0.0000,0.0985,0,collision
1,13,-157.15,15.77,102.50,0.0000,0.3785,0,collision
2,8,-150.79,9.51,59.50,0.0000,0.3155,0,collision
3,21,-136.50,43.23,77.33,0.0000,0.0195,0,collision
4,9,-156.13,4.10,121.32,0.0000,0.3875,0,collision
5,23,-157.50,12.96,148.84,0.0000,0.2145,0,collision
6,1,-151.36,0.06,0.11,0.0000,0.0000,0,collision
7,18,-160.05,19.47,19.49,0.0000,0.1451,0,collision
8,27,-156.77,12.07,83.38,0.0553,0.1860,0,collision
9,23,-145.62,24.66,31.67,0.0000,0.0669,0,collision
10,19,-144.51,23.07,95.13,0.0000,0.1108,0,collision
11,17,-150.55,14.72,159.75,0.0000,0.2468,0,collision
12,12,-160.82,17.66,1.00,0.0000,0.3169,0,collision
13,22,-168.98,13.73,55.80,0.0000,0.2477,0,collision
14,24,-148.22,28.55,357.79,0.0000,0.0603,0,collision
15,11,-154.19,7.25,31.19,0.2350,0.4468,0,collision
16,15,-146.66,17.95,267.57,0.0000,0.2744,0,collision
17,6,-161.32,1.34,34.46,0.1338,0.0000,0,collision
18,16,-150.27,11.52,44.47,0.0000,0.2276,0,collision
19,27,-156.07,36.06,46.93,0.0000,0.0152,0,collision
20,17,-150.00,19.98,217.18,0.0000,0.2116,0,collision
21,27,-141.80,27.69,76.44,0.0213,0.1655,0,collision
22,23,-152.21,37.93,162.81,0.0000,0.0452,0,collision
23,18,-173.55,15.54,-54.68,0.0000,0.2499,0,collision
24,27,-154.92,17.24,309.98,0.0000,0.0857,0,collision
