episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,46,-169.73,8.61,287.10,0.0096,0.0330,0,collision
2,249,-147.04,3.69,567.05,0.0049,0.0045,0,collision
3,56,-215.37,1.58,67.37,0.0108,0.0545,0,collision
4,14,-209.98,0.25,2.38,0.0689,0.0846,0,collision
5,6,-198.49,1.63,7.15,0.0913,0.0000,0,collision
6,14,-193.04,2.74,30.51,0.0786,0.0000,0,collision
7,227,326.13,9.61,774.46,0.0000,0.0127,1,goal
8,11,-201.65,1.42,11.16,0.0727,0.2634,0,collision
9,84,-182.67,4.23,180.69,0.0148,0.0217,0,collision
10,140,-139.07,6.66,523.19,0.0059,0.0103,0,collision
1,151,-236.33,4.72,493.47,0.0056,0.0000,0,collision
2,104,-160.17,5.00,280.42,0.0022,0.0036,0,collision
3,13,-203.13,0.89,6.52,0.0561,0.0000,0,collision
4,69,-180.81,2.44,117.93,0.0127,0.0085,0,collision
5,260,-90.05,6.23,562.12,0.0023,0.0066,0,collision
6,62,-189.27,3.20,125.93,0.0120,0.0461,0,collision
7,19,-189.83,5.34,81.00,0.0712,0.0000,0,collision
8,83,-158.97,4.89,267.78,0.0030,0.0805,0,collision
9,6,-200.78,0.56,2.36,0.1761,0.0173,0,collision
10,186,-108.09,6.33,642.04,0.0042,0.0000,0,collision
11,96,-157.12,5.13,294.26,0.0107,0.0000,0,collision
12,88,-144.70,7.37,364.90,0.0080,0.0363,0,collision
13,59,-198.48,2.74,157.91,0.0211,0.0000,0,collision
14,89,-161.07,6.47,292.22,0.0101,0.0000,0,collision
15,7,-198.77,1.43,12.58,0.1823,0.0000,0,collision
16,5,-197.11,2.22,6.61,0.1904,0.0000,0,collision
17,30,-178.83,6.09,168.42,0.0533,0.0000,0,collision
18,239,-136.90,3.37,573.49,0.0071,0.0000,0,collision
19,7,-196.41,4.31,30.28,0.1597,0.1817,0,collision
20,185,-112.94,7.17,445.46,0.0048,0.0450,0,collision
21,8,-204.66,0.39,3.31,0.1122,0.0000,0,collision
22,189,-143.72,4.46,429.63,0.0035,0.0354,0,collision
23,3,-199.22,1.72,7.61,0.4455,0.2133,0,collision
24,83,-183.92,2.78,140.72,0.0182,0.0000,0,collision
25,13,-201.18,1.48,20.51,0.1322,0.0000,0,collision
26,224,-113.14,6.13,601.90,0.0040,0.0009,0,collision
27,8,-200.85,1.03,5.65,0.1026,0.0000,0,collision
28,42,-179.87,5.83,198.42,0.0394,0.0485,0,collision
29,72,-205.95,2.09,81.73,0.0129,0.0332,0,collision
30,9,-207.18,0.24,1.88,0.1485,0.0896,0,collision
31,15,-192.61,2.31,16.65,0.0902,0.0173,0,collision
32,10,-203.67,0.91,12.80,0.0957,0.0777,0,collision
33,14,-193.85,2.85,28.08,0.0314,0.0000,0,collision
34,21,-186.09,8.02,114.36,0.0563,0.1031,0,collision
35,7,-201.21,0.76,5.25,0.2339,0.0000,0,collision
36,77,-205.46,1.91,94.38,0.0122,0.0082,0,collision
37,20,-204.97,1.12,14.53,0.0060,0.0000,0,collision
38,11,-201.65,1.04,5.03,0.0326,0.0668,0,collision
39,44,-174.56,6.13,181.75,0.0300,0.0227,0,collision
40,152,-112.54,7.27,486.93,0.0095,0.0000,0,collision
41,212,-83.01,7.80,902.21,0.0035,0.0139,0,collision
42,14,-194.49,3.45,43.71,0.0096,0.0409,0,collision
43,17,-204.92,0.92,10.70,0.0402,0.0000,0,collision
44,5,-199.51,1.04,2.19,0.1616,0.0000,0,collision
45,115,-136.92,5.62,303.45,0.0064,0.0209,0,collision
46,3,-202.89,0.00,0.20,0.3810,0.2892,0,collision
47,68,-149.21,9.96,219.51,0.0164,0.0103,0,collision
48,68,-190.83,2.64,107.68,0.0197,0.0000,0,collision
49,2,-200.19,0.49,0.65,0.4350,0.0000,0,collision
50,44,-184.90,3.47,97.55,0.0385,0.0380,0,collision
51,112,-138.45,12.37,188.36,0.0149,0.0053,0,collision
52,49,-201.68,1.73,55.99,0.0061,0.0000,0,collision
53,52,-199.11,2.44,91.15,0.0180,0.0214,0,collision
54,10,-201.62,0.93,5.02,0.0667,0.0000,0,collision
55,177,-98.23,7.82,402.49,0.0063,0.0156,0,collision
56,28,-206.80,1.35,14.73,0.0048,0.0000,0,collision
57,24,-187.96,11.00,180.97,0.0131,0.0625,0,collision
58,114,-111.28,11.43,427.32,0.0063,0.0156,0,collision
59,4,-202.90,0.19,0.63,0.3291,0.0981,0,collision
60,26,-182.14,12.80,114.60,0.0349,0.0330,0,collision
61,89,-151.17,7.26,282.32,0.0114,0.0106,0,collision
62,7,-198.35,1.50,6.17,0.1913,0.1549,0,collision
63,33,-196.42,2.82,67.45,0.0149,0.0000,0,collision
11,50,-167.26,10.31,194.62,0.0065,0.0000,0,collision
12,54,-184.32,3.35,97.41,0.0311,0.0091,0,collision
13,162,-65.41,15.87,421.57,0.0097,0.0159,0,collision
14,129,-124.88,10.77,370.15,0.0025,0.0135,0,collision
15,17,-204.93,1.06,14.43,0.0116,0.0781,0,collision
16,141,-112.69,8.14,643.89,0.0002,0.0228,0,collision
17,30,-217.85,0.79,18.69,0.0376,0.0000,0,collision
18,30,-192.62,2.89,43.33,0.0473,0.0000,0,collision
19,57,-149.00,17.79,287.30,0.0068,0.0189,0,collision
20,13,-195.24,3.53,50.84,0.0273,0.0000,0,collision
64,140,-191.97,9.02,344.61,0.0028,0.0079,0,collision
65,252,338.39,9.26,684.66,0.0000,0.0000,1,goal
66,30,-190.77,3.92,110.05,0.0355,0.0148,0,collision
67,188,-95.00,7.60,763.84,0.0032,0.0207,0,collision
68,151,-92.86,10.87,722.89,0.0025,0.0000,0,collision
69,176,-137.29,7.20,606.92,0.0021,0.0082,0,collision
70,101,-161.90,7.53,295.06,0.0095,0.0000,0,collision
71,22,-200.31,1.78,46.00,0.0438,0.0000,0,collision
72,48,-164.20,7.35,261.46,0.0208,0.0140,0,collision
73,69,-182.25,4.18,198.97,0.0252,0.0000,0,collision
74,5,-199.91,1.16,3.65,0.1648,0.0000,0,collision
75,65,-183.01,3.39,171.49,0.0087,0.0000,0,collision
76,45,-180.25,3.46,111.92,0.0216,0.0000,0,collision
77,24,-184.40,9.35,110.43,0.0001,0.0643,0,collision
78,27,-212.46,1.10,18.28,0.0252,0.5570,0,collision
79,47,-197.97,1.75,59.76,0.0210,0.0000,0,collision
80,30,-202.81,1.39,27.27,0.0071,0.0104,0,collision
81,31,-190.89,4.05,99.59,0.0195,0.0072,0,collision
82,90,-119.28,15.36,316.74,0.0185,0.0039,0,collision
83,86,-150.91,8.26,209.17,0.0147,0.0230,0,collision
84,53,-182.73,9.93,116.87,0.0038,0.1210,0,collision
85,75,-154.56,6.22,300.17,0.0124,0.0000,0,collision
86,11,-205.36,0.79,6.19,0.0834,0.1767,0,collision
87,1,-200.00,0.00,0.00,0.0000,0.0000,0,collision
88,31,-198.94,2.92,48.69,0.0390,0.0000,0,collision
89,113,-162.53,6.31,358.97,0.0033,0.0000,0,collision
90,139,-97.40,10.07,693.36,0.0064,0.0000,0,collision
91,7,-203.19,0.43,1.05,0.1705,0.0000,0,collision
92,63,-149.65,12.94,254.73,0.0077,0.0264,0,collision
93,46,-176.57,6.08,186.00,0.0049,0.0290,0,collision
94,16,-195.58,1.88,23.67,0.0854,0.0332,0,collision
95,40,-176.21,5.89,138.17,0.0049,0.0615,0,collision
96,67,-136.43,24.46,3.06,0.0002,0.0267,0,collision
97,169,-100.58,11.97,429.23,0.0074,0.0101,0,collision
98,2,-201.40,0.00,0.10,0.5654,0.1318,0,collision
99,86,-155.56,9.82,407.03,0.0073,0.0000,0,collision
100,7,-195.44,4.27,39.90,0.1101,0.0000,0,collision
101,6,-198.35,2.01,8.66,0.1404,0.0000,0,collision
102,4,-201.76,0.18,0.60,0.2638,0.0000,0,collision
103,57,-161.99,7.53,245.59,0.0041,0.0250,0,collision
104,31,-179.09,8.98,137.50,0.0136,0.0393,0,collision
105,14,-201.74,1.15,11.77,0.0252,0.0000,0,collision
106,245,340.20,8.51,1079.62,0.0000,0.0000,1,goal
107,47,-180.22,3.17,80.78,0.0219,0.0325,0,collision
108,38,-187.84,3.15,103.16,0.0161,0.0000,0,collision
109,9,-197.28,1.86,9.23,0.0866,0.0000,0,collision
110,150,-107.96,11.12,614.16,0.0026,0.0303,0,collision
111,127,-115.27,10.50,222.32,0.0036,0.0044,0,collision
112,161,-75.35,9.98,559.98,0.0043,0.0053,0,collision
113,49,-167.66,14.16,201.09,0.0136,0.0000,0,collision
114,13,-190.61,6.06,90.51,0.0566,0.0000,0,collision
115,27,-186.66,9.44,187.54,0.0404,0.0870,0,collision
116,212,342.47,9.98,637.94,0.0000,0.0000,1,goal
117,6,-204.77,0.02,0.50,0.2099,0.0000,0,collision
118,44,-161.54,18.67,210.46,0.0148,0.0129,0,collision
119,241,-95.57,8.45,930.03,0.0040,0.0031,0,collision
120,49,-163.54,11.94,132.54,0.0127,0.0332,0,collision
21,8,-195.61,2.79,19.68,0.0421,0.0865,0,collision
22,63,-172.86,9.74,292.80,0.0029,0.0000,0,collision
23,55,-166.60,6.64,228.29,0.0093,0.0000,0,collision
24,1,-200.00,0.00,0.00,0.0000,0.0000,0,collision
25,168,307.82,14.03,596.58,0.0000,0.0612,1,goal
26,23,-184.85,6.88,93.14,0.0435,0.0761,0,collision
27,71,-147.31,15.84,269.35,0.0107,0.0355,0,collision
28,95,-142.11,7.88,306.86,0.0079,0.0000,0,collision
29,88,-154.30,7.98,243.06,0.0090,0.0185,0,collision
30,110,297.40,19.01,431.44,0.0000,0.0025,1,goal
121,99,-174.52,7.58,287.59,0.0029,0.0218,0,collision
122,85,-125.43,15.29,398.18,0.0009,0.0111,0,collision
123,21,-204.10,1.64,28.16,0.0255,0.0000,0,collision
