episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,8,-207.25,0.80,4.20,0.1305,0.0000,0,collision
2,11,-214.54,0.28,1.63,0.1196,0.0396,0,collision
3,5,-203.44,1.44,3.74,0.0031,0.2022,0,collision
4,54,-180.73,5.84,248.77,0.0275,0.0000,0,collision
5,29,-212.98,2.32,51.85,0.0008,0.0083,0,collision
6,186,-242.09,3.39,332.14,0.0022,0.0288,0,collision
7,81,-229.29,2.79,171.10,0.0045,0.0000,0,collision
8,18,-218.35,0.94,12.16,0.0155,0.1704,0,collision
9,13,-198.22,3.65,21.80,0.0579,0.0000,0,collision
10,13,-210.92,1.14,14.11,0.0178,0.0000,0,collision
1,43,-230.05,2.43,49.52,0.0155,0.0205,0,collision
2,14,-218.36,0.74,8.32,0.0792,0.0000,0,collision
3,31,-228.08,1.35,32.15,0.0129,0.0250,0,collision
4,19,-223.41,0.57,10.68,0.0116,0.0513,0,collision
5,14,-216.67,0.44,3.82,0.1267,0.0267,0,collision
6,26,-231.34,0.37,8.08,0.0399,0.0000,0,collision
7,10,-204.57,1.92,12.01,0.1277,0.0946,0,collision
8,9,-200.23,2.65,13.13,0.0000,0.1541,0,collision
9,93,-243.78,2.44,153.88,0.0070,0.0020,0,collision
10,3,-203.25,0.00,0.20,0.0000,0.0000,0,collision
11,44,-224.99,1.75,36.49,0.0368,0.0000,0,collision
12,19,-223.26,0.75,10.58,0.0056,0.0000,0,collision
13,23,-221.08,1.34,26.53,0.0356,0.0579,0,collision
14,30,-217.46,2.15,29.90,0.0605,0.0534,0,collision
15,6,-203.01,1.27,12.55,0.2456,0.0000,0,collision
16,28,-213.65,2.83,49.83,0.0569,0.1154,0,collision
17,19,-209.25,1.93,21.73,0.1053,0.0000,0,collision
18,68,-261.56,1.16,51.51,0.0050,0.0000,0,collision
19,52,-241.13,1.49,46.24,0.0138,0.0000,0,collision
20,5,-206.77,0.46,3.08,0.0000,0.2515,0,collision
21,45,-240.72,1.45,39.03,0.0139,0.0677,0,collision
22,29,-224.88,1.53,37.79,0.0690,0.0584,0,collision
23,11,-208.65,1.07,7.82,0.0000,0.0000,0,collision
24,21,-225.06,0.75,10.24,0.0188,0.0000,0,collision
25,13,-209.57,1.19,14.22,0.1189,0.0000,0,collision
26,27,-197.52,5.72,100.51,0.0058,0.0359,0,collision
27,10,-201.64,2.14,9.28,0.0601,0.0000,0,collision
28,10,-204.72,1.79,14.28,0.0002,0.0000,0,collision
29,17,-221.60,0.57,5.34,0.0822,0.0000,0,collision
30,74,-254.49,1.65,74.91,0.0253,0.0000,0,collision
31,5,-204.79,0.00,0.40,0.0000,0.0000,0,collision
32,1,-200.00,0.00,0.00,0.0000,0.0000,0,collision
33,7,-204.06,1.15,2.43,0.0438,0.0000,0,collision
34,2,-201.81,0.00,0.10,0.4041,0.0000,0,collision
35,15,-191.11,6.03,69.11,0.0388,0.0000,0,collision
36,4,-202.87,0.79,1.43,0.0044,0.0000,0,collision
37,69,-227.84,3.12,152.48,0.0081,0.0000,0,collision
38,16,-211.91,1.42,17.87,0.0184,0.0000,0,collision
39,4,-203.03,0.52,1.94,0.3204,0.0000,0,collision
40,3,-202.45,0.55,1.13,0.0544,0.0000,0,collision
41,19,-215.16,1.15,16.11,0.0995,0.1321,0,collision
42,6,-201.07,1.62,7.54,0.3063,0.0000,0,collision
43,4,-200.45,1.96,10.29,0.5000,0.1904,0,collision
44,18,-215.20,1.13,15.13,0.0616,0.0000,0,collision
45,90,-262.13,1.74,92.45,0.0213,0.0124,0,collision
46,48,-176.27,7.89,279.73,0.0064,0.0000,0,collision
47,8,-205.55,0.83,2.50,0.1103,0.0000,0,collision
48,35,-231.99,0.77,18.78,0.0130,0.0000,0,collision
49,11,-213.51,0.42,2.48,0.0758,0.0000,0,collision
50,54,-171.94,8.66,328.55,0.0254,0.0800,0,collision
51,6,-208.06,0.10,0.56,0.1435,0.0000,0,collision
52,128,-305.88,1.56,131.44,0.0156,0.0122,0,collision
53,13,-205.98,2.22,21.97,0.0993,0.0000,0,collision
54,7,-201.89,1.99,12.49,0.1093,0.0000,0,collision
55,17,-224.48,0.31,3.27,0.0399,0.0613,0,collision
56,77,-205.17,4.55,183.10,0.0044,0.0060,0,collision
57,7,-208.55,0.63,3.04,0.1692,0.2952,0,collision
58,21,-222.91,0.79,11.68,0.0646,0.0000,0,collision
59,66,-235.77,2.10,105.02,0.0080,0.0070,0,collision
60,14,-217.23,0.50,5.56,0.0311,0.0000,0,collision
61,8,-209.95,0.27,1.01,0.0426,0.0684,0,collision
62,32,-210.68,3.47,107.11,0.0262,0.0000,0,collision
63,104,-269.35,1.88,117.59,0.0063,0.0000,0,collision
64,37,-240.41,1.35,37.63,0.0020,0.0697,0,collision
65,8,-207.30,0.59,1.16,0.1048,0.0000,0,collision
66,23,-227.97,0.73,9.34,0.0503,0.0000,0,collision
67,9,-211.00,0.37,2.43,0.0545,0.0000,0,collision
68,61,-226.22,2.93,131.39,0.0328,0.0000,0,collision
69,76,-242.22,2.60,149.10,0.0097,0.0000,0,collision
70,29,-213.40,1.78,28.61,0.0225,0.0000,0,collision
71,7,-205.86,0.82,5.52,0.1472,0.0041,0,collision
72,4,-202.58,0.76,1.24,0.0322,0.0000,0,collision
73,124,-261.28,3.25,260.97,0.0022,0.0329,0,collision
74,93,-278.01,1.56,100.64,0.0096,0.0081,0,collision
75,13,-215.87,0.53,4.05,0.0874,0.0492,0,collision
76,5,-203.68,0.72,1.74,0.0751,0.0000,0,collision
77,11,-212.68,0.80,11.87,0.1507,0.0000,0,collision
78,36,-239.04,0.91,20.82,0.0062,0.0548,0,collision
79,5,-206.72,0.00,0.40,0.0616,0.0000,0,collision
80,81,-269.20,1.89,117.79,0.0041,0.0212,0,collision
81,5,-205.66,0.16,0.47,0.1939,0.0000,0,collision
82,10,-198.61,3.60,30.87,0.0000,0.0000,0,collision
83,55,-231.92,2.51,81.87,0.0199,0.0169,0,collision
84,63,-238.99,2.43,109.13,0.0223,0.0000,0,collision
85,27,-231.14,0.88,10.95,0.0504,0.0269,0,collision
86,25,-212.53,2.28,31.95,0.0013,0.0000,0,collision
87,57,-254.34,1.15,50.85,0.0127,0.0214,0,collision
88,30,-218.89,1.84,37.46,0.0292,0.0000,0,collision
89,39,-231.30,1.67,32.79,0.0132,0.0000,0,collision
90,24,-223.96,1.00,11.75,0.0795,0.0000,0,collision
91,11,-204.91,1.88,15.68,0.0000,0.0339,0,collision
92,22,-224.61,0.89,14.68,0.0075,0.0000,0,collision
93,6,-206.87,0.51,2.33,0.3333,0.0000,0,collision
94,184,-265.21,5.54,367.37,0.0016,0.0567,0,collision
95,30,-220.25,1.80,49.28,0.0007,0.0252,0,collision
96,14,-218.54,0.45,1.77,0.1427,0.0183,0,collision
97,55,-245.37,1.94,69.68,0.0190,0.0253,0,collision
98,20,-215.59,1.34,13.63,0.0412,0.0468,0,collision
99,2,-200.47,0.99,2.29,0.8700,0.0000,0,collision
100,23,-195.64,4.89,95.22,0.0323,0.0126,0,collision
101,205,-402.60,1.43,200.55,0.0098,0.0032,0,collision
102,9,-205.63,0.94,3.72,0.0521,0.0000,0,collision
103,14,-215.01,0.85,7.62,0.0706,0.0000,0,collision
104,5,-206.29,0.23,0.72,0.1586,0.0000,0,collision
105,8,-210.70,0.49,3.54,0.0584,0.0000,0,collision
106,57,-223.31,3.21,130.90,0.0266,0.0095,0,collision
107,35,-208.04,2.57,56.29,0.0186,0.0312,0,collision
108,92,-300.00,0.96,64.79,0.0152,0.0185,0,collision
109,7,-199.12,2.28,14.16,0.0493,0.0000,0,collision
110,17,-191.38,5.16,72.51,0.0733,0.0000,0,collision
111,12,-216.40,0.34,3.08,0.1022,0.0000,0,collision
112,4,-202.98,0.02,0.30,0.0363,0.0000,0,collision
113,20,-217.75,1.03,14.27,0.0097,0.0000,0,collision
114,57,-270.96,0.74,28.87,0.0199,0.0087,0,collision
115,14,-208.70,1.59,19.60,0.0791,0.0000,0,collision
116,3,-201.97,0.69,2.61,0.2257,0.0000,0,collision
117,8,-209.17,0.80,6.15,0.2080,0.0340,0,collision
118,29,-220.18,1.76,34.24,0.0690,0.0000,0,collision
119,9,-201.41,1.95,16.23,0.2222,0.0000,0,collision
120,76,-278.97,1.47,89.68,0.0145,0.0100,0,collision
121,1,-200.00,0.00,0.00,0.0000,0.0000,0,collision
122,5,-206.18,0.50,2.47,0.3494,0.1897,0,collision
123,146,-227.24,3.89,348.27,0.0019,0.0050,0,collision
124,4,-203.12,0.33,0.45,0.0761,0.0000,0,collision
125,5,-205.79,0.05,0.44,0.1506,0.0000,0,collision
126,16,-215.84,0.80,9.53,0.0576,0.0010,0,collision
127,5,-202.57,0.76,2.19,0.1761,0.0000,0,collision
128,43,-243.67,0.97,23.12,0.0110,0.0000,0,collision
129,124,-307.64,1.60,129.66,0.0161,0.0129,0,collision
11,120,-283.35,1.56,131.67,0.0000,0.0007,0,collision
12,133,-261.84,3.00,238.03,0.0099,0.0000,0,collision
13,115,-266.91,5.75,251.13,0.0050,0.0152,0,collision
14,44,-235.86,1.47,39.06,0.0249,0.0000,0,collision
15,101,-312.45,1.84,118.97,0.0000,0.0070,0,collision
16,179,-364.98,1.53,163.58,0.0112,0.0026,0,collision
17,114,-293.94,1.81,129.57,0.0000,0.0041,0,collision
18,37,-227.63,2.29,45.11,0.0165,0.0929,0,collision
19,71,-261.12,1.52,57.08,0.0012,0.0000,0,collision
20,63,-279.53,0.74,40.67,0.0224,0.0000,0,collision
130,45,-233.40,2.12,72.40,0.0085,0.0000,0,collision
131,36,-234.06,1.83,45.99,0.0037,0.0371,0,collision
132,38,-235.77,1.27,42.44,0.0000,0.0446,0,collision
133,3,-203.14,0.00,0.20,0.0533,0.0000,0,collision
134,41,-231.09,1.52,43.35,0.0144,0.0090,0,collision
135,6,-206.32,0.23,0.75,0.3333,0.0000,0,collision
136,8,-203.88,1.48,10.00,0.1458,0.0000,0,collision
137,104,-257.13,2.78,208.31,0.0144,0.0110,0,collision
138,92,-242.64,2.99,188.84,0.0103,0.0000,0,collision
139,53,-235.48,1.32,43.30,0.0085,0.0000,0,collision
140,55,-230.18,2.18,74.66,0.0179,0.0728,0,collision
141,16,-217.26,0.72,9.32,0.0570,0.0000,0,collision
142,120,-230.35,4.81,291.14,0.0041,0.0081,0,collision
143,7,-205.52,0.86,6.00,0.0000,0.0000,0,collision
144,10,-205.40,1.65,14.29,0.1001,0.0000,0,collision
145,25,-226.72,1.05,21.56,0.0342,0.0000,0,collision
146,82,-200.58,4.21,235.70,0.0085,0.0119,0,collision
147,17,-213.20,1.35,12.08,0.0000,0.0321,0,collision
148,92,-234.01,3.23,98.44,0.0018,0.0196,0,collision
149,60,-231.01,4.09,177.45,0.0020,0.0049,0,collision
150,18,-223.36,0.31,3.48,0.0441,0.0014,0,collision
151,26,-223.28,1.06,16.30,0.0530,0.0000,0,collision
152,95,-262.08,2.12,107.04,0.0122,0.0000,0,collision
153,15,-211.78,1.10,11.43,0.0061,0.0000,0,collision
154,31,-214.58,1.82,53.59,0.0430,0.0000,0,collision
155,84,-257.78,3.30,172.06,0.0238,0.0000,0,collision
156,26,-221.53,1.52,28.19,0.0000,0.0128,0,collision
157,15,-210.37,2.22,22.87,0.0830,0.1008,0,collision
158,36,-232.15,1.33,25.99,0.0081,0.0221,0,collision
159,260,-390.93,2.44,409.81,0.0007,0.0193,0,collision
160,56,-198.16,3.87,141.36,0.0050,0.0000,0,collision
161,57,-248.96,1.86,67.87,0.0098,0.0000,0,collision
162,9,-208.60,0.77,5.80,0.0890,0.0000,0,collision
163,162,-337.23,1.88,204.90,0.0038,0.0366,0,collision
164,5,-202.14,1.07,6.62,0.3226,0.0000,0,collision
165,3,-202.36,0.35,0.43,0.3148,0.1171,0,collision
166,38,-214.74,2.48,58.64,0.0429,0.0011,0,collision
167,2,-201.74,0.00,0.10,0.2250,0.0000,0,collision
168,4,-201.66,1.55,9.91,0.4616,0.0000,0,collision
169,21,-208.08,2.51,28.59,0.0705,0.0518,0,collision
170,59,-233.17,1.59,53.35,0.0202,0.0375,0,collision
171,27,-219.96,1.36,24.89,0.0536,0.0000,0,collision
172,14,-220.35,0.36,4.17,0.0417,0.0455,0,collision
173,15,-219.18,0.63,6.61,0.0796,0.0000,0,collision
174,77,-217.84,2.41,129.67,0.0248,0.0000,0,collision
175,41,-236.72,1.49,38.02,0.0023,0.0000,0,collision
