episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason,route
1,49,-241.86,1.24,41.78,0.0167,0.0457,0,collision,
2,41,-242.71,0.98,23.36,0.0309,0.0000,0,collision,
3,21,-224.00,0.60,6.70,0.0952,0.0000,0,collision,
4,94,-268.27,1.66,103.09,0.0071,0.0965,0,collision,
5,1,-200.00,0.00,0.00,0.0000,0.0000,0,collision,
6,30,-224.89,1.21,28.78,0.0667,0.0000,0,collision,
7,21,-223.60,0.69,11.49,0.0886,0.0000,0,collision,
8,85,-210.39,4.09,205.61,0.0031,0.0000,0,collision,
9,64,-203.44,4.82,270.17,0.0000,0.0162,0,collision,
10,6,-200.05,2.17,10.38,0.0532,0.0000,0,collision,
1,70,-245.47,1.87,72.45,0.0225,0.0000,0,collision,
2,62,-223.00,2.76,126.04,0.0197,0.0000,0,collision,
3,43,-217.46,3.47,113.45,0.0465,0.0605,0,collision,
4,18,-213.25,1.35,20.10,0.0884,0.0924,0,collision,
5,331,-236.55,4.58,882.51,0.0045,0.0011,0,collision,
6,19,-195.86,4.09,55.60,0.0464,0.0207,0,collision,
7,3,-202.54,0.00,0.20,0.0723,0.0000,0,collision,
8,42,-228.84,1.45,35.61,0.0000,0.0000,0,collision,
9,61,-255.19,1.01,36.85,0.0327,0.0000,0,collision,
10,19,-215.48,1.23,12.03,0.0489,0.0000,0,collision,
11,141,-276.71,2.28,195.89,0.0028,0.0000,0,collision,
12,108,-278.55,1.73,119.31,0.0083,0.0000,0,collision,
13,87,-260.37,1.55,74.23,0.0209,0.0096,0,collision,
14,6,-205.81,0.57,3.43,0.1290,0.0000,0,collision,
15,26,-224.73,1.02,12.40,0.0435,0.0000,0,collision,
16,22,-220.46,1.05,7.08,0.0309,0.0000,0,collision,
17,4,-202.39,0.86,2.08,0.4510,0.0000,0,collision,
18,106,-224.63,2.84,226.87,0.0124,0.0000,0,collision,
19,5,-206.13,0.13,0.43,0.0624,0.1296,0,collision,
20,23,-226.95,0.43,7.06,0.0086,0.0000,0,collision,
21,7,-200.27,2.84,12.64,0.2054,0.0000,0,collision,
22,76,-233.15,2.47,118.64,0.0011,0.0000,0,collision,
23,55,-220.80,2.39,77.14,0.0175,0.0000,0,collision,
24,212,-264.62,3.47,470.63,0.0054,0.0075,0,collision,
25,16,-208.90,1.66,12.95,0.0770,0.0000,0,collision,
26,5,-203.16,0.37,2.28,0.1678,0.0000,0,collision,
27,116,-298.85,1.21,106.19,0.0085,0.0000,0,collision,
28,7,-207.29,0.37,0.83,0.0624,0.0000,0,collision,
29,64,-238.77,1.99,56.17,0.0157,0.0115,0,collision,
30,43,-237.15,1.02,32.56,0.0465,0.0000,0,collision,
31,59,-238.31,1.74,71.59,0.0109,0.0131,0,collision,
32,8,-205.94,1.17,9.22,0.0000,0.0000,0,collision,
33,5,-200.91,2.31,13.54,0.0476,0.1336,0,collision,
34,61,-218.64,5.63,190.94,0.0081,0.1242,0,collision,
35,74,-211.67,3.54,185.53,0.0077,0.0000,0,collision,
36,21,-207.51,2.99,42.37,0.0422,0.0000,0,collision,
