episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,120,-338.61,5.90,475.98,0.0062,0.0480,0,collision
1,133,-343.05,5.60,325.48,0.0078,0.0000,0,collision
2,100,-299.62,7.72,296.39,0.0113,0.0177,0,collision
2,127,-326.87,5.91,487.47,0.0109,0.0579,0,collision
3,203,-407.83,5.90,693.19,0.0027,0.0749,0,collision
3,217,-421.85,5.36,680.54,0.0057,0.0375,0,collision
4,151,-358.63,6.40,487.58,0.0049,0.0138,0,collision
4,102,-311.29,7.38,354.53,0.0147,0.0352,0,collision
5,152,-353.44,7.55,651.36,0.0056,0.0875,0,collision
5,159,-369.60,5.43,685.49,0.0056,0.0214,0,collision
1,108,-307.96,6.65,540.94,0.0126,0.0001,0,collision
1,138,-352.10,4.90,513.07,0.0099,0.0000,0,collision
1,168,-364.13,7.05,722.31,0.0033,0.0283,0,collision
1,173,-382.71,5.76,610.08,0.0074,0.0011,0,collision
2,93,-289.24,8.77,365.00,0.0188,0.0136,0,collision
2,131,-331.27,7.18,469.90,0.0066,0.0369,0,collision
2,97,-301.82,6.00,301.66,0.0099,0.0205,0,collision
2,119,-345.53,7.24,299.97,0.0108,0.0047,0,collision
3,91,-301.87,7.37,325.89,0.0078,0.0192,0,collision
3,48,-232.12,16.05,139.25,0.0205,0.0220,0,collision
3,112,-323.68,6.35,447.68,0.0173,0.0000,0,collision
4,99,-294.78,5.85,372.16,0.0157,0.0000,0,collision
3,110,-307.64,6.84,422.96,0.0081,0.0058,0,collision
4,83,-273.54,8.07,266.73,0.0107,0.0218,0,collision
6,103,-310.62,6.42,431.99,0.0087,0.0000,0,collision
6,138,-319.00,9.65,347.06,0.0034,0.0291,0,collision
7,74,-270.62,10.29,213.25,0.0171,0.0170,0,collision
8,71,-257.20,10.82,288.76,0.0054,0.0454,0,collision
7,117,-311.57,7.34,459.57,0.0063,0.0057,0,collision
9,148,-342.99,7.76,445.18,0.0078,0.0605,0,collision
8,212,-412.61,5.40,612.28,0.0010,0.0001,0,collision
10,133,-342.04,5.82,634.40,0.0063,0.0243,0,collision
9,116,-325.80,5.22,317.96,0.0098,0.0000,0,collision
11,100,-298.78,7.03,348.30,0.0144,0.0195,0,collision
5,125,-327.78,5.97,583.21,0.0105,0.0005,0,collision
4,129,-336.41,7.19,425.98,0.0093,0.0000,0,collision
5,181,-415.45,5.22,522.39,0.0066,0.0143,0,collision
5,72,-267.10,8.81,259.25,0.0159,0.0281,0,collision
6,108,-299.92,9.10,617.48,0.0138,0.0259,0,collision
4,300,-521.95,5.42,945.07,0.0013,0.0461,0,collision
6,134,-332.17,8.02,718.23,0.0070,0.0132,0,collision
5,92,-305.89,7.30,198.72,0.0130,0.0171,0,collision
7,153,-384.61,6.77,295.90,0.0053,0.0002,0,collision
8,86,-286.52,8.94,294.58,0.0125,0.0102,0,collision
6,106,-306.16,7.34,300.20,0.0045,0.0000,0,collision
7,169,-378.28,6.45,708.30,0.0029,0.0227,0,collision
7,97,-291.70,5.97,335.27,0.0100,0.0000,0,collision
9,124,-330.73,5.77,451.95,0.0082,0.0000,0,collision
8,111,-304.94,6.15,398.31,0.0105,0.0000,0,collision
12,114,-321.68,7.05,370.28,0.0146,0.0110,0,collision
10,161,-397.46,6.30,347.27,0.0027,0.0001,0,collision
11,91,-275.62,7.80,433.03,0.0050,0.0072,0,collision
12,108,-285.99,9.60,501.66,0.0113,0.0000,0,collision
13,247,-422.52,6.30,1238.58,0.0031,0.0126,0,collision
14,100,-288.91,7.63,484.03,0.0119,0.0069,0,collision
13,168,-391.18,6.12,640.37,0.0049,0.0207,0,collision
15,194,-404.59,5.98,753.72,0.0022,0.0291,0,collision
14,164,-378.58,6.10,447.20,0.0035,0.0000,0,collision
16,75,-280.45,9.46,151.29,0.0030,0.0225,0,collision
10,78,-275.15,8.38,343.55,0.0109,0.0270,0,collision
6,468,-690.29,4.33,1317.75,0.0018,0.0115,0,collision
11,45,-232.57,13.42,138.10,0.0248,0.0241,0,collision
8,146,-365.22,5.45,606.27,0.0078,0.0425,0,collision
9,145,-358.06,6.79,625.10,0.0006,0.0128,0,collision
12,97,-295.23,7.47,445.47,0.0073,0.0027,0,collision
9,97,-304.10,6.16,387.76,0.0025,0.0166,0,collision
7,158,-357.62,5.80,514.74,0.0075,0.0002,0,collision
10,158,-340.74,6.96,569.28,0.0077,0.0016,0,collision
13,103,-307.54,6.53,396.36,0.0089,0.0000,0,collision
8,91,-302.98,7.14,391.31,0.0083,0.0108,0,collision
10,124,-323.11,6.51,262.95,0.0045,0.0000,0,collision
11,89,-269.70,17.21,276.47,0.0024,0.0077,0,collision
14,98,-293.32,8.61,532.81,0.0179,0.0150,0,collision
12,93,-301.46,6.99,364.09,0.0045,0.0204,0,collision
9,175,-390.00,5.44,663.83,0.0024,0.0000,0,collision
15,113,-311.41,9.45,310.67,0.0130,0.0000,0,collision
13,48,-233.18,12.84,235.95,0.0248,0.0298,0,collision
17,85,-279.88,7.64,320.14,0.0158,0.0221,0,collision
15,112,-307.26,5.37,405.71,0.0090,0.0000,0,collision
18,114,-331.25,5.46,348.84,0.0012,0.0176,0,collision
19,86,-283.49,7.59,257.82,0.0124,0.0234,0,collision
20,101,-322.07,5.83,311.63,0.0068,0.0000,0,collision
16,288,-546.45,3.63,817.09,0.0040,0.0079,0,collision
17,122,-326.14,7.27,307.55,0.0064,0.0000,0,collision
21,173,-412.62,5.15,693.14,0.0046,0.0054,0,collision
18,108,-317.17,5.51,316.69,0.0036,0.0000,0,collision
22,133,-364.52,4.46,463.96,0.0026,0.0069,0,collision
11,211,-422.05,5.61,827.17,0.0060,0.0036,0,collision
10,91,-311.71,6.63,156.06,0.0120,0.0033,0,collision
16,94,-292.40,7.17,458.62,0.0105,0.0149,0,collision
14,157,-379.45,6.05,543.09,0.0018,0.0046,0,collision
12,151,-337.97,6.04,581.19,0.0079,0.0000,0,collision
11,138,-359.36,5.91,633.70,0.0109,0.0130,0,collision
15,66,-256.19,9.25,402.03,0.0021,0.0213,0,collision
13,167,-377.70,5.30,522.13,0.0014,0.0085,0,collision
16,126,-334.56,7.34,473.94,0.0119,0.0002,0,collision
17,270,-28.79,8.36,1040.39,0.0000,0.0247,1,goal
